CITY,POPULATION,5yr,10yr
Langford,30450,39184,50425
Tumbler Ridge,2816,3609,4626
Anmore,2160,2687,3344
Pemberton,2487,3072,3795
Unincorporated Areas,21853,26754,32756
Port Moody,34049,40348,47813
Radium Hot Springs,782,923,1091
Surrey,482977,562183,654379
Tofino,2020,2338,2707
Sooke,11692,13347,15237
Lake Country,11893,13447,15205
Qualicum Beach,8669,9792,11060
View Royal,9564,10755,12095
Chilliwack,79903,89291,99783
Taylor,1405,1562,1738
Highlands,2182,2420,2684
Squamish,17739,19529,21499
Ladysmith,7997,8803,9690
Kelowna,119905,131776,144823
